Month,Segment, Active_users_FTE , Active_users_nonFTE , total_seats_FTE , total_seats_nonFTE ,billing_adoption_FTE,billing_adoption_nonFTE
2024-10,Asia, 153 ,, 319 ,,48%,
2024-10,Canada, 320 ,, 656 ,,49%,
2024-10,Corp, 35 ,, 76 ,,46%,
2024-10,ETS, 82 ,, 168 ,,49%,
2024-10,GA, 18 ,, 53 ,,34%,
2024-10,GDT, 40 ,, 125 ,,32%,
2024-10,GFT, 23 ,, 47 ,,49%,
2024-10,GWAM, 161 ,, 332 ,,48%,
2024-10,US, 92 ,, 168 ,,55%,
2024-11,Asia, 147 ,, 334 ,,44%,
2024-11,Canada, 323 ,, 671 ,,48%,
2024-11,Corp, 37 ,, 85 ,,44%,
2024-11,ETS, 82 ,, 177 ,,46%,
2024-11,GA, 25 ,, 56 ,,45%,
2024-11,GDT, 47 ,, 125 ,,38%,
2024-11,GFT, 24 ,, 59 ,,41%,
2024-11,GWAM, 181 ,, 361 ,,50%,
2024-11,US, 88 ,, 178 ,,49%,
2024-12,Asia, 147 ,, 191 ,,77%,
2024-12,Canada, 323 ,, 714 ,,45%,
2024-12,Corp, 37 ,, 83 ,,45%,
2024-12,ETS, 82 ,, 176 ,,47%,
2024-12,GA, 25 ,, 76 ,,33%,
2024-12,GDT, 47 ,, 117 ,,40%,
2024-12,GFT, 24 ,, 49 ,,49%,
2024-12,GWAM, 181 ,, 380 ,,48%,
2024-12,US, 88 ,, 166 ,,53%,
2025-01,Asia, 146 ,, 191 ,,76%,
2025-01,Canada, 325 ,, 399 ,,81%,
2025-01,Corp, 34 ,, 55 ,,62%,
2025-01,ETS, 79 ,, 104 ,,76%,
2025-01,GA, 29 ,, 48 ,,60%,
2025-01,GDT, 49 ,, 64 ,,77%,
2025-01,GFT, 22 ,, 27 ,,81%,
2025-01,GWAM, 220 ,, 296 ,,74%,
2025-01,US, 92 ,, 121 ,,76%,
2025-02,Asia, 146 ,, 191 ,,76%,
2025-02,Canada, 325 ,, 399 ,,81%,
